"Symbol","ENSG","trt","untrt","baseMean","log2FoldChange","pvalue","padj","Entrez"
"AC108752.1","ENSG00000240241",6.3,6.31,6.305,-0.428,0.7653,1,""
"DRG2","ENSG00000108591",9.497,9.318,9.408,1.827,0.2415,1,"1819"
"STK4","ENSG00000101109",9.858,10,9.929,-1.073,0.5384,1,"6789"
"OGFOD1","ENSG00000087263",9.73,9.595,9.663,0.443,0.6853,1,"55239"
"AC109583.2","ENSG00000273682",6.278,6.321,6.3,1.584,0.3974,1,""
"AKR7A2","ENSG00000053371",10.052,9.988,10.02,-0.062,0.9428,1,"8574"
"AP5S1","ENSG00000125843",8.635,8.771,8.703,1.263,0.2532,1,"55317"
"DDX20","ENSG00000064703",9.005,8.709,8.857,-3.02,0.2142,1,"11218"
"NCBP1","ENSG00000136937",9.78,9.972,9.876,-0.855,0.6605,1,"4686"
"PFDN4","ENSG00000101132",8.977,9.025,9.001,-1.07,0.3846,1,"5203"
"AL022328.4","ENSG00000273253",6.765,6.971,6.868,-0.284,0.6729,1,""
"AC009927.1","ENSG00000250031",6.322,6.262,6.292,0.482,0.6437,1,""
"AC004241.1","ENSG00000257433",6.91,6.916,6.913,-0.374,0.7818,1,"105369748"
"PCP4L1","ENSG00000248485",6.255,6.362,6.308,-1.221,0.1967,1,"654790"
"AC092611.3","ENSG00000278978",6.346,6.241,6.294,-1.724,1,1,""
"HMGN3","ENSG00000118418",9.236,9.473,9.355,-3.084,0.1082,1,"9324"
"PLCD1","ENSG00000187091",9.704,9.501,9.603,0.194,0.8562,1,"5333"
"APP","ENSG00000142192",14.601,14.77,14.685,3.133,0.09762,1,"351"
"GSDMC","ENSG00000147697",6.296,6.302,6.299,-0.562,0.7966,1,"56169"
"ZNF565","ENSG00000196357",7.402,7.385,7.393,-0.688,0.384,1,"147929"
"SMIM1","ENSG00000235169",6.733,6.942,6.838,-0.107,0.9233,1,"388588"
"AC004039.1","ENSG00000230612",6.719,6.863,6.791,2.088,0.1514,1,""
"ARRDC3","ENSG00000113369",9.968,10.354,10.161,-0.713,0.3972,1,"57561"
"AC027020.2","ENSG00000270127",6.688,6.626,6.657,-0.323,0.7004,1,""
"ARHGAP39","ENSG00000147799",7.57,7.677,7.623,0.238,0.892,1,"80728"
"LDLRAD2","ENSG00000187942",7.101,7.106,7.103,0.969,0.2613,1,"401944"
"ASPM","ENSG00000066279",7.726,8.054,7.89,0.074,0.9383,1,"259266"
"TNNC2","ENSG00000101470",6.795,7.015,6.905,-0.207,0.8738,1,"7125"
"USP4","ENSG00000114316",10.613,10.473,10.543,0.088,0.9688,1,"107986084"
"AL034550.2","ENSG00000277301",6.481,6.326,6.403,-0.679,0.7578,1,"101929698"
"FTH1P8","ENSG00000219507",6.725,6.751,6.738,1.325,0.3936,1,""
"GTF2IP23","ENSG00000230295",6.26,6.464,6.362,-1.639,0.2285,1,""
"LINC00997","ENSG00000281332",7.341,7.255,7.298,0.003,0.9972,1,""
"TGFBR3L","ENSG00000260001",6.77,6.717,6.743,1.143,0.5554,1,"100507588"
"SEPSECS-AS1","ENSG00000281501",7.223,7.317,7.27,1.014,0.2309,1,""
"GAK","ENSG00000178950",10.655,10.469,10.562,-2.295,0.3601,1,"2580"
"CCDC91","ENSG00000123106",9.111,9.065,9.088,0.114,0.9642,1,"55297"
"AL513548.3","ENSG00000275846",6.304,6.282,6.293,-2.155,0.2877,1,"105374989"
"EMC1","ENSG00000127463",10.58,10.6,10.59,-2.012,0.09073,1,"23065"
"MOB2","ENSG00000182208",9.076,8.959,9.017,1.431,0.4545,1,"81532"
"EME1","ENSG00000154920",6.683,6.912,6.798,-3.509,0.06023,1,"146956"
"RSPH10B2","ENSG00000169402",6.275,6.301,6.288,-3.163,0.1738,1,"728194"
"HHLA3","ENSG00000197568",8.064,8.082,8.073,-1.68,0.3183,1,"11147"
"TNFSF13","ENSG00000161955",7.885,7.804,7.845,-0.453,0.7222,1,"8741"
"AC010894.2","ENSG00000226853",6.467,6.596,6.531,-1.075,0.4534,1,""
"AC009948.4","ENSG00000270956",6.592,6.697,6.645,2.713,0.01171,1,""
"AP000356.2","ENSG00000284070",6.69,6.518,6.604,0.492,0.6269,1,""
"LYPD3","ENSG00000124466",6.721,7.049,6.885,0.354,0.6889,1,"27076"
"IRF9","ENSG00000213928",9.96,9.95,9.955,0.421,0.6275,1,"10379"
"FEZ2","ENSG00000171055",10.485,10.436,10.461,1.531,0.4188,1,"9637"
"MIDN","ENSG00000167470",9.965,10.181,10.073,0.379,0.7562,1,"90007"
"USF3","ENSG00000176542",9.789,9.971,9.88,0.471,0.824,1,"205717"
"MTAPP1","ENSG00000243025",6.278,6.303,6.291,1.207,0.3961,1,""
"AC066613.1","ENSG00000259668",6.598,6.716,6.657,3.733,0.2752,1,""
"AC090948.3","ENSG00000272529",6.375,6.199,6.287,-1.49,0.4922,1,""
"AC004471.2","ENSG00000272682",6.374,6.315,6.345,-0.779,0.341,1,""
"AL669942.1","ENSG00000274628",6.519,6.548,6.533,0.052,0.9626,1,"105379252"
"ZNF407","ENSG00000215421",9.085,9.098,9.091,0.236,0.884,1,"55628"
"PTP4A1","ENSG00000112245",10.018,9.941,9.98,0.785,0.7769,1,"7803"
"PCDHB12","ENSG00000120328",6.771,6.864,6.817,-1.307,0.441,1,"56124"
"ARHGAP27","ENSG00000159314",7.678,7.868,7.773,0.014,0.9889,1,"201176"
"AC025180.1","ENSG00000249899",6.321,6.262,6.291,-0.955,0.3088,1,""
"ZDHHC3","ENSG00000163812",11.189,10.871,11.03,-0.562,0.7792,1,"51304"
"VPS41","ENSG00000006715",11.129,11.255,11.192,-2.963,0.1161,1,"27072"
"RIOX1","ENSG00000170468",8.276,8.244,8.26,-0.384,0.6299,1,"79697"
"AC005532.1","ENSG00000230825",6.28,6.272,6.276,-1.181,0.3679,1,"101927354"
"AC107067.1","ENSG00000246375",6.375,6.407,6.391,-1.213,0.183,1,"105369192"
"FOXD4L5","ENSG00000204779",6.405,6.35,6.377,-0.055,0.9506,1,"653427"
"AC044810.2","ENSG00000254951",6.583,6.41,6.496,-0.187,0.8488,1,"283299"
"TPPP","ENSG00000171368",6.605,6.419,6.512,0.102,0.9554,1,"11076"
"AC239798.4","ENSG00000273213",6.982,7.118,7.05,-0.227,0.7944,1,""
"AGK","ENSG00000006530",8.933,8.966,8.949,0.755,0.5121,1,"55750"
"LSM1","ENSG00000175324",9.408,9.128,9.268,0.136,0.9662,1,"27257"
"SNORD30","ENSG00000277846",6.347,6.237,6.292,-0.306,0.9044,1,"9299"
"PPIAP41","ENSG00000254463",6.311,6.366,6.338,-0.73,0.699,1,""
"C12orf73","ENSG00000204954",7.697,7.689,7.693,-1.778,0.3705,1,"728568"
"P2RY6","ENSG00000171631",6.562,6.383,6.473,-0.456,0.7482,1,"5031"
"WNK1","ENSG00000060237",12.35,12.479,12.414,-2.416,0.2082,1,"65125"
"EIF1","ENSG00000173812",12.721,12.588,12.655,0.065,0.9693,1,"10209"
"GABRA5","ENSG00000186297",6.302,6.286,6.294,-0.565,0.6256,1,"2558"
"AC005414.1","ENSG00000285734",6.275,6.288,6.282,2.272,0.02059,1,""
"AL031429.1","ENSG00000235782",6.285,6.318,6.302,-0.531,0.819,1,""
"AC008991.2","ENSG00000267683",6.352,6.586,6.469,1.039,0.3947,1,""
"DGCR11","ENSG00000273311",7.234,7.213,7.224,0.659,0.5546,1,"25786"
"LILRA5","ENSG00000187116",6.342,6.215,6.278,-0.834,0.3101,1,"353514"
"MIER3","ENSG00000155545",9.161,9.136,9.148,-1.627,0.5463,1,"166968"
"WDR93","ENSG00000140527",6.458,6.478,6.468,-0.226,0.8523,1,"56964"
"IL4R","ENSG00000077238",9.324,9.086,9.205,-0.28,0.8985,1,"3566"
"LINC01098","ENSG00000231171",6.333,6.238,6.285,0.446,0.8198,1,"285501"
"TEDC2","ENSG00000162062",6.63,6.752,6.691,0.103,0.9292,1,"80178"
"ACBD3-AS1","ENSG00000234478",6.21,6.397,6.304,0.458,0.8023,1,""
"AL359878.1","ENSG00000205740",6.689,6.82,6.755,-0.106,0.9644,1,""
"RUNDC3A-AS1","ENSG00000267750",6.87,6.901,6.886,1.251,0.5355,1,"101926996"
"TMEM268","ENSG00000157693",8.335,8.627,8.481,0.194,0.8219,1,"203197"
"ASLP1","ENSG00000244723",6.346,6.48,6.413,-1.476,0.505,1,""
"COQ4","ENSG00000167113",8.964,9.11,9.037,0.461,0.786,1,"51117"
"SENCR","ENSG00000254703",6.212,6.373,6.293,-0.358,0.7249,1,"100507392"
"AC010320.2","ENSG00000268015",6.311,6.271,6.291,1.867,0.3133,1,""
"AC010601.1","ENSG00000259929",6.267,6.327,6.297,-0.041,0.9687,1,""
"AC011472.4","ENSG00000273733",6.596,6.546,6.571,-1.331,0.222,1,""
"CENPT","ENSG00000102901",9.688,9.645,9.666,0.175,1,1,"80152"
"AC099487.1","ENSG00000247402",6.272,6.324,6.298,-0.249,0.8505,1,""
"ZNF547","ENSG00000152433",7.426,7.637,7.531,-0.21,0.8688,1,"284306"
"YARS2","ENSG00000139131",8.427,8.326,8.376,0.189,0.7953,1,"51067"
"LRCH4","ENSG00000077454",9.308,9.398,9.353,1.408,0.07833,1,"4034"
"MOB1A","ENSG00000114978",11.707,11.419,11.563,-1.25,0.2955,1,"55233"
"RPS10P28","ENSG00000243167",6.204,6.373,6.288,-0.042,0.9667,1,""
"SRSF2","ENSG00000161547",11.027,10.977,11.002,-0.534,0.49,1,"6427"
"KARS","ENSG00000065427",11.022,10.941,10.981,-0.152,0.9181,1,"3735"
"H3F3B","ENSG00000132475",11.688,11.909,11.799,0.572,0.4401,1,"3021"
"PIMREG","ENSG00000129195",6.768,6.723,6.746,0.657,0.5917,1,"54478"
"VCPIP1","ENSG00000175073",9.845,9.601,9.723,-0.108,0.9015,1,"80124"
"NUDT13","ENSG00000166321",7.28,7.452,7.366,-2.967,0.02861,1,"25961"
"PLEKHA8P1","ENSG00000134297",7.107,7.063,7.085,0.083,0.9544,1,"51054"
"IRF2BP2","ENSG00000168264",10.395,10.694,10.544,3.224,0.006083,1,"359948"
"GCKR","ENSG00000084734",6.451,6.531,6.491,-0.297,0.6708,1,"2646"
"LSMEM1","ENSG00000181016",6.811,6.824,6.817,0.305,0.8038,1,"286006"
"ZNF253","ENSG00000256771",7.523,7.673,7.598,0.853,0.7446,1,"56242"
"TCERG1","ENSG00000113649",9.911,9.941,9.926,-0.72,0.4359,1,"10915"
"CYP8B1","ENSG00000180432",6.563,6.421,6.492,-0.183,0.8228,1,"1582"
"AC023157.3","ENSG00000276900",6.53,6.687,6.608,-0.532,0.7612,1,""
"HPX","ENSG00000110169",6.67,6.973,6.822,-0.361,0.7129,1,"3263"
"LINC00937","ENSG00000226091",6.817,6.816,6.816,-0.983,0.4166,1,"389634"
"AC139491.2","ENSG00000248596",6.32,6.282,6.301,-0.274,0.85,1,"643201"
"TMPRSS3","ENSG00000160183",6.342,6.241,6.292,1.57,0.03786,1,"64699"
"PDCL3","ENSG00000115539",7.991,7.79,7.89,0.376,0.8461,1,"79031"
"WDR5B","ENSG00000196981",8.044,8.185,8.114,-0.909,0.689,1,"54554"
"Z97653.2","ENSG00000279255",6.603,6.784,6.693,1.141,0.7433,1,""
"PTDSS1","ENSG00000156471",11.002,11.416,11.209,0.054,0.9441,1,"9791"
"DM1-AS","ENSG00000267395",6.881,6.8,6.84,0.776,0.5594,1,""
"FAAP100","ENSG00000185504",9.242,9.424,9.333,1.289,0.1957,1,"80233"
"SCN11A","ENSG00000168356",6.591,6.644,6.617,0.23,0.7407,1,"11280"
"BMS1P1","ENSG00000204177",8.091,8.261,8.176,-1.952,0.3765,1,"399761"
"AP003498.2","ENSG00000285933",6.272,6.396,6.334,0.448,0.7146,1,""
"AC021752.1","ENSG00000273674",6.403,6.425,6.414,0.437,0.5597,1,""
"LRRC14","ENSG00000160959",9.458,9.458,9.458,-0.065,0.97,1,"9684"
"ENAH","ENSG00000154380",12.379,12.191,12.285,0.432,0.7127,1,"55740"
"GRK4","ENSG00000125388",7.952,8.001,7.976,-0.381,0.7662,1,"2868"
"RF00017","ENSG00000264809",6.327,6.313,6.32,0.071,0.9629,1,""
"COQ3","ENSG00000132423",7.3,7.189,7.244,-0.486,0.8115,1,"51805"
"COX5B","ENSG00000135940",10.25,10.159,10.205,-0.804,0.7196,1,"1329"
"SNX11","ENSG00000002919",8.654,8.459,8.556,-1.115,0.2736,1,"29916"
"ZNF536","ENSG00000198597",6.84,6.818,6.829,0.823,0.3012,1,"9745"
"PRPSAP1","ENSG00000161542",9.246,9.392,9.319,2.748,0.1051,1,"5635"
"ZBED5-AS1","ENSG00000247271",7.776,7.854,7.815,1.302,0.2781,1,"729013"
"AP001273.1","ENSG00000279696",7.152,6.966,7.059,0.862,0.5878,1,""
"AF111167.2","ENSG00000259319",6.653,6.795,6.724,-1.258,0.5483,1,"101928377"
"MOB3C","ENSG00000142961",9.051,8.947,8.999,-0.012,0.9915,1,"148932"
"C22orf24","ENSG00000128254",6.204,6.397,6.301,-1.059,0.6109,1,"25775"
"TMEM184A","ENSG00000164855",6.788,6.742,6.765,-0.372,1,1,"202915"
"TLDC1","ENSG00000140950",9.312,9.11,9.211,-0.661,0.3965,1,"57707"
"LSM2","ENSG00000204392",8.221,8.4,8.311,-0.511,0.5537,1,"57819"
"HAGH","ENSG00000063854",8.943,8.896,8.92,-0.32,0.6727,1,"3029"
"GPR17","ENSG00000144230",6.919,6.623,6.771,0.332,0.7554,1,"2840"
"UBAP1L","ENSG00000246922",7.26,7.239,7.249,0.509,0.5016,1,"390595"
"C8orf49","ENSG00000255394",6.267,6.405,6.336,1.543,0.6543,1,"606553"
"LIAS","ENSG00000121897",8.034,8.21,8.122,-0.541,0.8057,1,"11019"
"AC099518.5","ENSG00000261759",7.911,7.75,7.83,0.881,0.7476,1,""
"CPSF4","ENSG00000160917",8.773,8.996,8.885,0.493,0.6509,1,"10898"
"KCNQ1OT1","ENSG00000269821",9.346,9.39,9.368,1.402,0.3905,1,"10984"
"AC122129.1","ENSG00000197815",7.097,7.228,7.163,-0.493,0.6917,1,""
"B9D2","ENSG00000123810",7.29,7.378,7.334,-0.345,0.7045,1,"80776"
"ZNF286A","ENSG00000187607",8.57,8.724,8.647,0.65,0.5972,1,"57335"
"POLE2","ENSG00000100479",6.815,6.921,6.868,2.034,0.0345,1,"5427"
"VASH1-AS1","ENSG00000258301",7.047,6.921,6.984,0.312,0.8857,1,"100506603"
"NQO2","ENSG00000124588",8.792,8.942,8.867,-0.078,0.9774,1,"4835"
"SLC35B1","ENSG00000121073",9.297,9.194,9.245,0.665,0.4437,1,"10237"
"LINC00665","ENSG00000232677",8.141,8.275,8.208,-1.219,0.5817,1,"100506930"
"PLEKHA7","ENSG00000166689",6.623,6.671,6.647,-2.098,0.1557,1,"144100"
"ARF4-AS1","ENSG00000272146",6.43,6.331,6.381,-0.133,0.888,1,"106144532"
"FZR1","ENSG00000105325",9.76,9.85,9.805,-1.097,0.4678,1,"51343"
"AL390334.1","ENSG00000258932",6.515,6.425,6.47,0.272,0.8951,1,"728755"
"FOXH1","ENSG00000160973",6.523,6.483,6.503,-0.275,0.739,1,"8928"
"LSM5","ENSG00000106355",8.85,8.677,8.763,0.849,0.757,1,"23658"
"AC026150.1","ENSG00000260693",7.326,7.508,7.417,-0.579,0.736,1,""
"CDC42EP5","ENSG00000167617",8.743,8.733,8.738,1.271,0.2734,1,"148170"
"TRPC5","ENSG00000072315",6.336,6.469,6.403,-0.844,0.5336,1,"7224"
"LETM2","ENSG00000165046",7.603,7.425,7.514,1.745,0.3553,1,"137994"
"AC019322.4","ENSG00000279417",8.426,8.588,8.507,-0.709,0.6961,1,""
"MYO1F","ENSG00000142347",6.894,6.979,6.936,0.205,0.8203,1,"4542"
"EEF1A1P24","ENSG00000223668",6.241,6.345,6.293,-0.677,0.7585,1,""
"AC010207.1","ENSG00000260633",6.463,6.415,6.439,-0.942,0.2137,1,""
"BCL2L14","ENSG00000121380",6.465,6.437,6.451,0.46,0.8679,1,"79370"
"AC098614.4","ENSG00000271943",6.381,6.624,6.503,-2.476,0.1455,1,""
"AL033397.1","ENSG00000231683",6.431,6.486,6.458,0.58,0.727,1,"101927136"
"KRT8P14","ENSG00000214282",6.48,6.36,6.42,-0.593,0.6459,1,""
"EIF4A1P10","ENSG00000229132",6.435,6.423,6.429,0.889,0.3864,1,""
"B4GALNT1","ENSG00000135454",6.964,6.77,6.867,0.745,0.6962,1,"2583"
"LINC00863","ENSG00000224914",8.618,8.614,8.616,-0.203,0.7686,1,"439994"
"CRIP1","ENSG00000213145",6.722,6.757,6.739,4.275,0.005232,1,"1396"
"AC003975.1","ENSG00000197462",6.388,6.376,6.382,-0.308,0.8944,1,""
"WDR44","ENSG00000131725",9.505,9.298,9.401,-2.08,0.1105,1,"54521"
"AC007336.3","ENSG00000279030",6.631,6.744,6.688,0.38,0.627,1,""
"MTND5P11","ENSG00000248923",6.635,6.652,6.644,-0.631,0.6794,1,""
"AC013451.1","ENSG00000258425",6.392,6.443,6.418,-0.086,0.9184,1,""
"RN7SL356P","ENSG00000266553",6.424,6.437,6.431,0.849,0.713,1,""
"LTB4R","ENSG00000213903",7.377,7.439,7.408,0.087,0.9417,1,"1241"
"SKP1","ENSG00000113558",12.329,12.331,12.33,-0.039,0.9779,1,"6500"
"AC145098.1","ENSG00000248996",6.42,6.391,6.405,0.721,0.725,1,""
"ID4","ENSG00000172201",7.41,7.348,7.379,-0.431,0.5606,1,"3400"
"ACSF2","ENSG00000167107",9.002,8.995,8.999,2.604,0.1451,1,"80221"
"AC104986.1","ENSG00000253180",6.463,6.43,6.447,0.247,0.855,1,""
"DLK2","ENSG00000171462",6.878,6.819,6.849,0.73,0.2654,1,"65989"
"RPL17P36","ENSG00000236058",6.386,6.344,6.365,2.203,0.2965,1,""
"RN7SL417P","ENSG00000244056",6.5,6.709,6.605,0.607,0.6255,1,""
"SF3A1","ENSG00000099995",11.076,10.995,11.035,0.92,0.4682,1,"10291"
"PCDHB19P","ENSG00000262096",6.469,6.558,6.513,-1.704,0.2369,1,""
"AGBL3","ENSG00000146856",7.064,7.145,7.105,-1.446,0.3636,1,"340351"
"DPEP2","ENSG00000167261",6.357,6.245,6.301,1.104,0.5851,1,"64174"
"RTL8C","ENSG00000134590",12.155,11.955,12.055,1.164,0.599,1,"8933"
"LDLRAP1","ENSG00000157978",9.395,9.295,9.345,-0.418,0.6065,1,"26119"
"LBX2","ENSG00000179528",6.681,6.781,6.731,2.405,0.1651,1,"85474"
"HDDC3","ENSG00000184508",7.838,7.917,7.877,-0.346,0.7061,1,"374659"
"BCCIP","ENSG00000107949",9.311,9.167,9.239,-2.177,0.2802,1,"56647"
"C11orf98","ENSG00000278615",8.735,8.67,8.703,-3.926,0.07342,1,"102288414"
"RAB3GAP2","ENSG00000118873",10.491,10.529,10.51,-0.891,0.5172,1,"25782"
"AC011495.1","ENSG00000243829",6.256,6.342,6.299,1.315,0.6211,1,""
"KCTD17","ENSG00000100379",8.738,8.645,8.692,-0.057,0.9465,1,"79734"
"RAD51D","ENSG00000185379",8.892,9.029,8.961,2.263,0.03836,1,"5892"
"AL390198.1","ENSG00000226465",6.496,6.36,6.428,-1.141,0.5994,1,""
"AP000786.1","ENSG00000255893",6.788,6.797,6.792,0.511,0.6376,1,""
"AC002066.1","ENSG00000237813",6.418,6.437,6.428,-2.961,0.0927,1,""
"AL591438.2","ENSG00000234042",6.517,6.534,6.526,-0.282,0.7849,1,""
"RBBP7","ENSG00000102054",11.071,10.951,11.011,0.231,0.7801,1,"5931"
"CCR1","ENSG00000163823",6.526,6.823,6.675,-1.449,0.05785,1,"1230"
"AC060234.2","ENSG00000233665",7.94,7.877,7.908,1.196,0.201,1,""
"DHX30","ENSG00000132153",10.354,10.224,10.289,0.397,0.7727,1,"22907"
"AC069213.1","ENSG00000223711",6.261,6.33,6.296,0.181,0.8602,1,""
"ST6GALNAC5","ENSG00000117069",6.732,6.778,6.755,-0.256,0.8084,1,"81849"
"HAVCR1P1","ENSG00000268442",6.402,6.381,6.392,-0.109,0.9252,1,"100101266"
"RNASEH1","ENSG00000171865",9.314,9.096,9.205,0.617,0.7201,1,"246243"
"TRIM52-AS1","ENSG00000248275",7.506,7.473,7.49,0.508,0.6319,1,"100507602"
"MPRIP","ENSG00000133030",12.249,12.278,12.263,0.662,0.6082,1,"23164"
"CDH7","ENSG00000081138",6.419,6.277,6.348,0.075,0.9566,1,"1005"
"AP000238.1","ENSG00000273464",6.275,6.338,6.306,0.69,0.4707,1,""
"PTGES3L","ENSG00000267060",6.851,6.736,6.794,-0.724,0.4361,1,"100885848"
"LINC00506","ENSG00000281392",8.139,8.078,8.108,1.532,0.27,1,"100846978"
"CPSF2","ENSG00000165934",10.609,10.698,10.654,-0.496,0.7527,1,"53981"
"CYFIP1","ENSG00000273749",11.721,11.58,11.651,-0.475,0.7531,1,"23191"
"NIT1","ENSG00000158793",8.933,9.031,8.982,-0.771,0.3336,1,"4817"
"SRPRB","ENSG00000144867",9.628,9.494,9.561,1.879,0.4775,1,"58477"
"KIAA1109","ENSG00000138688",12.058,12.055,12.056,0.129,0.929,1,"84162"
"AC012186.3","ENSG00000280376",6.288,6.299,6.293,-0.751,0.4755,1,""
"RNA5-8SN2","ENSG00000278233",7.41,7.742,7.576,0.053,0.9782,1,""
"INKA1","ENSG00000185614",7.341,7.319,7.33,0.025,0.9832,1,"389119"
"CTF1","ENSG00000150281",8.621,8.627,8.624,0.841,0.4588,1,"1489"
"ARHGDIG","ENSG00000242173",6.241,6.443,6.342,-0.055,0.9784,1,"398"
"ZNF876P","ENSG00000198155",6.643,6.795,6.719,1.992,0.2526,1,"642280"
"ATG2A","ENSG00000110046",9.925,9.715,9.82,0.679,0.5404,1,"23130"
"DERA","ENSG00000023697",9.34,9.162,9.251,0.635,0.6172,1,"51071"
"GSC","ENSG00000133937",6.376,6.395,6.386,2.069,0.1996,1,"145258"
"PAFAH2","ENSG00000158006",8.37,8.54,8.455,-0.715,0.5191,1,"5051"
"GRN","ENSG00000030582",13.308,13.52,13.414,-0.6,0.8237,1,"2896"
"AC090152.1","ENSG00000167912",7.206,7.324,7.265,0.524,0.843,1,"100505501"
"POM121B","ENSG00000205578",6.721,6.788,6.755,-1.272,0.4023,1,""
"NAT10","ENSG00000135372",9.937,9.732,9.835,-0.866,0.6562,1,"55226"
"SNHG10","ENSG00000247092",7.206,7.172,7.189,-0.65,0.3942,1,""
"LINC01089","ENSG00000212694",8.612,8.521,8.566,-0.221,0.8655,1,"338799"
"TRGV7","ENSG00000249978",6.284,6.476,6.38,0.788,0.7071,1,""
"CC2D2B","ENSG00000188649",6.746,6.883,6.814,0.034,0.9773,1,"387707"
"EIF3FP3","ENSG00000233426",8.36,8.487,8.423,0.251,0.8789,1,""
"AC009159.4","ENSG00000279378",6.293,6.432,6.363,-2.36,0.06309,1,""
"CAMKK2","ENSG00000110931",10.453,10.203,10.328,-0.69,0.6715,1,"10645"
"RPL23A","ENSG00000198242",12.717,12.717,12.717,0.543,0.591,1,"6147"
"AC008481.2","ENSG00000213304",6.275,6.382,6.329,-0.467,0.7094,1,""
"RPGRIP1L","ENSG00000103494",8.598,8.694,8.646,-1.022,0.2566,1,"23322"
"AC000036.1","ENSG00000225929",6.311,6.259,6.285,0.136,0.9233,1,"105373100"
"COX15","ENSG00000014919",9.468,9.589,9.529,1.698,0.5247,1,"1355"
"NDUFA12","ENSG00000184752",8.788,8.78,8.784,-0.355,0.8107,1,"105369915"
"GTF2IRD1P1","ENSG00000230583",6.643,6.609,6.626,-0.897,0.3967,1,"729156"
"FAR2P1","ENSG00000180178",6.48,6.528,6.504,0.386,0.6832,1,"440905"
"AL049650.1","ENSG00000256566",6.381,6.523,6.452,-0.305,0.8297,1,""
"EPCAM","ENSG00000119888",6.333,6.233,6.283,-2.715,0.2171,1,"4072"
"NPHP4","ENSG00000131697",8.366,8.425,8.396,0.689,0.4633,1,"261734"
"DLGAP4","ENSG00000080845",11.04,11.25,11.145,-0.524,0.762,1,"22839"
"GPATCH2","ENSG00000092978",8.615,8.645,8.63,-0.994,0.6967,1,"55105"
"HAS2-AS1","ENSG00000248690",6.799,6.99,6.894,-2.087,0.3113,1,"594842"
"ST3GAL1P1","ENSG00000250656",6.303,6.259,6.281,-1.912,0.4649,1,""
"AC234772.2","ENSG00000269902",6.318,6.329,6.324,-0.046,0.975,1,""
"SVBP","ENSG00000177868",8.649,8.893,8.771,0.933,0.5476,1,"374969"
"NOP14","ENSG00000087269",9.996,9.783,9.89,-0.108,0.9373,1,"8602"
"TBX6","ENSG00000149922",6.726,6.799,6.763,0.415,0.742,1,"6911"
"NDUFAF6","ENSG00000156170",7.917,8.041,7.979,-0.098,0.9054,1,"137682"
"RPS18P12","ENSG00000230897",6.263,6.311,6.287,0.37,0.8245,1,""
"ATXN7L2","ENSG00000162650",7.919,7.719,7.819,-0.156,0.9453,1,"127002"
"LPCAT4","ENSG00000176454",8.948,9.02,8.984,1.138,0.1236,1,"254531"
"ZKSCAN4","ENSG00000187626",7.86,8.022,7.941,0.02,0.9875,1,"387032"
"PWAR6","ENSG00000257151",7.646,7.646,7.646,-1.544,0.1137,1,"100506965"
"SYTL1","ENSG00000142765",6.667,6.561,6.614,0.522,0.7011,1,"84958"
"HYDIN2","ENSG00000276975",8.138,8.29,8.214,-1.124,0.3603,1,""
"LIPI","ENSG00000188992",6.268,6.309,6.288,0.485,0.8173,1,"149998"
"AGPAT1","ENSG00000204310",11.081,10.905,10.993,-0.894,0.4483,1,"10554"
"AL391244.2","ENSG00000225905",6.285,6.317,6.301,1.032,0.7593,1,""
"AL391650.1","ENSG00000236782",6.475,6.273,6.374,-1.644,0.1515,1,""
"MYBPH","ENSG00000133055",6.479,6.446,6.463,2.375,0.1574,1,"4608"
"PORCN","ENSG00000102312",8.372,8.323,8.347,-1.214,0.3731,1,"64840"
"CR1","ENSG00000203710",6.297,6.354,6.326,3.37,0.2723,1,"1378"
"IQGAP1","ENSG00000140575",12.891,12.75,12.821,0.464,0.7653,1,"8826"
"AC133644.2","ENSG00000273445",6.285,6.345,6.315,0.716,0.7472,1,""
"AC019117.2","ENSG00000283321",6.542,6.532,6.537,0.667,0.7191,1,""
"TINCR","ENSG00000223573",6.719,6.655,6.687,-0.968,0.3882,1,"257000"
"RBP5","ENSG00000139194",7.474,7.518,7.496,0.743,0.597,1,"83758"
"SMIM5","ENSG00000204323",6.519,6.486,6.503,0.049,0.962,1,"643008"
"CASP17P","ENSG00000235505",6.975,7.119,7.047,-2.786,0.04906,1,"643733"
"RN7SL353P","ENSG00000263608",6.394,6.489,6.442,-1.015,0.2462,1,""
"LINC01224","ENSG00000269416",6.543,6.436,6.49,0.837,0.7543,1,"104472717"
"CAPN9","ENSG00000135773",6.37,6.443,6.406,0.088,0.953,1,"10753"
"ZNF718","ENSG00000250312",7.853,7.933,7.893,-0.565,0.7688,1,"255403"
"ZNF564","ENSG00000249709",7.891,7.829,7.86,-2.5,0.1551,1,"163050"
"AC021683.3","ENSG00000267665",6.457,6.558,6.507,-1.797,0.4009,1,""
"PFAS","ENSG00000178921",8.672,8.54,8.606,1.354,0.5372,1,"5198"
"URAHP","ENSG00000222019",6.932,7.012,6.972,-1.251,0.3297,1,"100130015"
"Z97653.1","ENSG00000259840",6.314,6.331,6.322,1.282,0.6187,1,""
"MISP3","ENSG00000141854",7.079,6.995,7.037,-0.146,0.864,1,"113230"
"SNX15","ENSG00000110025",8.965,8.707,8.836,1.051,0.5313,1,"29907"
"CNOT3","ENSG00000088038",10.108,9.894,10.001,-0.715,0.5578,1,"4849"
